2012年家户号,2011-2012全部家庭纯收入,同灶吃饭成员的总人数
130825,7489,2
130827,42224,5
130828,4890,3
130829,4020,3
130830,10800,4
130831,48190,5
130832,12710,3
130833,156425,4
130835,41700,4
130836,14200,3
130837,4937,2
130838,5640,2
130839,6975,2
130841,3000,4
130842,1200,1
130843,22761,2
130844,30266,4
130845,1900,1
130846,5960,4
130847,55690,4
130848,8631,2
130849,22220,3
130850,34000,3
130853,2300,3
130854,2110,4
130855,3700,2
130856,47280,5
130857,500,4
130858,78100,8
130859,39450,5
130861,20870,3
130862,27500,2
130864,49230,4
130865,30400,5
130866,1760,2
130867,13681,3
130868,10160,1
130869,400,5
130871,28030,3
130872,18000,4
130873,31400,5
130874,31700,4
130875,10000,5
130877,79065,6
130878,5170,5
130879,56200,4
130880,59540,9
130881,63700,6
130882,29100,4
130883,17380,4
130884,44000,6
130885,45190,5
130886,28420,6
130887,127700,6
130889,42600,5
130890,38300,6
130891,2900,2
130892,82740,6
130893,75160,8
130894,50000,6
130895,16500,5
130896,153000,7
130897,28560,6
130898,27142,7
130899,48900,4
130900,94500,6
130901,160841,5
130902,3000,6
130903,17180,3
130904,35380,3
130905,66980,5
130906,2920,5
130907,22100,6
130908,37050,4
130909,32700,4
130911,35700,6
130912,23650,2
130913,57500,4
130914,1150,7
130916,68800,5
130917,1601,4
130918,112400,6
130919,14691,2
130920,15640,4
130923,44300,5
130924,8700,2
130925,144860,5
130926,17500,3
130928,19751,6
130930,2600,1
130932,5000,2
130933,22200,6
130935,17100,7
130936,17100,2
130937,10170,6
130938,38560,2
130939,19900,6
130940,1400,6
131160,40000,3
131729,10100,5
136896,80000,1
138862,11600,6
139125,12500,2
139466,55800,3
140001,43060,4
140002,22650,3
140003,50000,3
140004,45000,3
140008,2270,2
140009,25760,2
140015,23941,6
140016,30810,3
140017,57170,6
140018,48490,5
140019,66000,5
140020,93740,3
140021,20800,5
140023,22600,3
140024,131800,5
140025,51600,4
140026,21850,3
140028,5450,1
140030,19350,4
140031,31625,5
140032,302,3
140036,300,3
140038,18000,3
140039,28000,4
140045,74800,3
140046,111440,3
140047,20000,5
140052,67400,3
140056,87640,3
140058,92200,4
140061,33375,4
140062,9000,4
140063,7250,2
140064,11000,2
140065,57100,6
140066,8400,2
140067,12000,4
140069,18200,4
140070,31500,3
140071,42000,3
140072,2400,1
140074,26250,3
140075,6600,5
140079,3600,6
140080,49100,5
140081,95614,6
140083,88600,5
140084,121760,8
140085,36100,3
